Date,Open,High,Low,Close,Adj Close,Volume
2021-08-23,3211.899902,3280.899902,3210.004883,3265.870117,3265.870117,3268131
2021-08-24,3280.000000,3315.494141,3274.580078,3305.780029,3305.780029,2551841
2021-08-25,3309.870117,3321.000000,3286.149902,3299.179932,3299.179932,1680306
2021-08-26,3299.000000,3332.000000,3296.000000,3316.000000,3316.000000,2098761
2021-08-27,3333.229980,3352.320068,3313.750000,3349.629883,3349.629883,2402369
2021-08-30,3357.425049,3445.000000,3355.219971,3421.570068,3421.570068,3192244
2021-08-31,3424.800049,3472.580078,3395.590088,3470.790039,3470.790039,4356413
2021-09-01,3496.395996,3527.000000,3475.239990,3479.000000,3479.000000,3629911
2021-09-02,3494.760010,3511.960693,3455.000000,3463.120117,3463.120117,2925594
2021-09-03,3452.000000,3482.669922,3436.439941,3478.050049,3478.050049,2578324
2021-09-07,3478.000000,3528.090088,3476.939941,3509.290039,3509.290039,2741184
2021-09-08,3511.649902,3545.629883,3495.669922,3525.500000,3525.500000,3053364
2021-09-09,3526.020020,3549.989990,3480.370117,3484.159912,3484.159912,2719241
2021-09-10,3501.830811,3508.449951,3462.905518,3469.149902,3469.149902,2397269
2021-09-13,3482.800049,3497.959961,3438.000000,3457.169922,3457.169922,2569022
2021-09-14,3475.550049,3486.805908,3437.710449,3450.000000,3450.000000,1936897
2021-09-15,3442.520020,3485.419922,3402.010010,3475.790039,3475.790039,2957537
2021-09-16,3459.959961,3492.550049,3446.143311,3488.239990,3488.239990,2583598
2021-09-17,3488.414551,3497.409912,3452.129883,3462.520020,3462.520020,4616556
2021-09-20,3396.000000,3419.000000,3305.010010,3355.729980,3355.729980,4669130
2021-09-21,3375.000000,3379.699951,3332.389893,3343.629883,3343.629883,2780878
2021-09-22,3351.000000,3389.000000,3341.050049,3380.050049,3380.050049,2411403
2021-09-23,3380.050049,3428.959961,3380.050049,3416.000000,3416.000000,2379414
2021-09-24,3402.010010,3429.260010,3393.399902,3425.520020,3425.520020,2116241
2021-09-27,3371.500000,3415.570068,3339.610107,3405.800049,3405.800049,3634450
2021-09-28,3357.709961,3369.189941,3290.100098,3315.959961,3315.959961,4430819
2021-09-29,3322.110107,3351.300049,3297.870117,3301.120117,3301.120117,2562268
2021-09-30,3316.000000,3327.850098,3273.989990,3285.040039,3285.040039,2847033
2021-10-01,3289.010010,3309.174561,3255.939941,3283.260010,3283.260010,2835617
2021-10-04,3279.389893,3279.989990,3176.250000,3189.780029,3189.780029,4523057
2021-10-05,3204.500000,3260.729980,3202.464111,3221.000000,3221.000000,3269208
2021-10-06,3213.530029,3264.340088,3198.620117,3262.010010,3262.010010,2532977
2021-10-07,3291.540039,3325.746094,3283.060059,3302.429932,3302.429932,2409075
2021-10-08,3317.000000,3321.429932,3288.199951,3288.620117,3288.620117,1998217
2021-10-11,3275.000000,3292.589844,3238.100098,3246.300049,3246.300049,2034203
2021-10-12,3257.000000,3267.528076,3236.280029,3247.330078,3247.330078,1819571
2021-10-13,3269.709961,3288.379883,3261.088867,3284.280029,3284.280029,2425086
2021-10-14,3302.454102,3312.600098,3290.780029,3299.860107,3299.860107,2112020
2021-10-15,3311.419922,3410.419922,3304.000000,3409.020020,3409.020020,5179941
2021-10-18,3388.357666,3449.169922,3385.100098,3446.739990,3446.739990,3174115
2021-10-19,3434.290039,3454.689941,3422.000000,3444.149902,3444.149902,2386079
2021-10-20,3452.659912,3462.860107,3400.370117,3415.060059,3415.060059,2139777
2021-10-21,3414.250000,3440.280029,3403.000000,3435.010010,3435.010010,1881385
2021-10-22,3421.000000,3429.840088,3331.300049,3335.550049,3335.550049,3139053
2021-10-25,3335.000000,3347.799805,3297.699951,3320.370117,3320.370117,2225956
2021-10-26,3349.510010,3416.120117,3343.979980,3376.070068,3376.070068,2698342
2021-10-27,3388.000000,3437.000000,3371.453369,3392.489990,3392.489990,2702224
2021-10-28,3402.094971,3479.000000,3386.000000,3446.570068,3446.570068,5708733
2021-10-29,3300.020020,3374.820068,3273.320068,3372.429932,3372.429932,6486077
2021-11-01,3361.800049,3375.860107,3292.020020,3318.110107,3318.110107,3608879
2021-11-02,3315.010010,3331.114990,3283.550049,3312.750000,3312.750000,2627590
2021-11-03,3309.000000,3394.919922,3297.520020,3384.000000,3384.000000,3397189
2021-11-04,3370.000000,3498.625000,3365.000000,3477.000000,3477.000000,5353020
2021-11-05,3477.000000,3566.250000,3476.979980,3518.989990,3518.989990,4996951
2021-11-08,3523.239990,3579.000000,3487.860107,3488.979980,3488.979980,3073992
2021-11-09,3515.250000,3593.770020,3501.425049,3576.229980,3576.229980,4294922
2021-11-10,3563.870117,3605.449951,3463.090088,3482.050049,3482.050049,4027422
2021-11-11,3513.000000,3543.239990,3467.469971,3472.500000,3472.500000,2264406
2021-11-12,3485.000000,3540.726318,3447.050049,3525.149902,3525.149902,2689434
